Height,Width,Length,Colour Scheme,Maker Elf ID,Checker Elf ID,Defective
8.09,2.5,15.93,"Pink",10,11,False
7.54,1.95,14.97,"Orange",5,14,False
8.84,3.4,14.33,"Orange",11,10,False
6.98,3.68,13.93,"Pink",8,10,False
4.2,3.55,10.52,"Orange",7,6,False
4.71,3.99,12.77,"Yellow",12,5,False
9.32,1.53,9.47,"Yellow",4,12,False
8.93,2.82,14.65,"Yellow",1,5,False
9.93,2.82,8.48,"Green",3,14,False
2.96,2.45,12.76,"Red",4,3,False
6.94,2.27,12.38,"Yellow",10,10,True
6.13,1.43,13.36,"Red",6,12,False
9.68,1.03,8.73,"Green",5,5,False
8.83,1.58,12.21,"Purple",7,7,False
6.06,1.66,11.53,"Orange",10,5,False
2.61,3.86,14.36,"Orange",2,3,False
8.19,3.09,13.19,"Pink",12,5,False
8.91,1.18,14.15,"Red",7,8,False
9.85,3.19,9.07,"Red",9,4,False
2.48,3.44,15.68,"Purple",9,6,False
6.1,1.34,13.75,"Pink",7,12,False
4.01,1.37,8.24,"Pink",10,1,False
8.56,2.09,13.93,"Yellow",4,1,False
2.58,3.13,15.78,"Red",7,9,False
9.4,1.29,13.46,"Blue",11,9,False
9.09,2.57,11.04,"Pink",10,3,False
9.24,2.73,14.08,"Pink",14,3,False
6.55,2.94,12.62,"Blue",12,12,False
2.0,3.34,14.82,"Blue",13,9,False
8.72,2.6,13.95,"Blue",7,9,False
2.36,4.4,4.06,"Blue",18,10,True
2.35,3.96,12.96,"Yellow",9,1,False
6.25,1.02,10.5,"Yellow",2,1,False
8.4,5.31,9.28,"Blue",4,3,True
7.46,2.45,9.31,"Pink",15,8,False
2.6,3.8,11.23,"Pink",9,5,True
6.89,2.31,8.06,"Green",14,13,False
5.65,1.71,15.22,"Yellow",12,12,False
3.61,1.27,11.79,"Red",6,13,False
2.08,1.29,10.97,"Green",4,8,False
2.83,1.33,13.04,"Green",5,9,False
8.44,3.45,11.71,"Yellow",5,14,False
6.1,3.16,14.15,"Purple",7,13,False
6.7,1.22,14.12,"Pink",8,15,False
6.9,1.3,8.07,"Pink",6,1,False
6.25,3.54,11.41,"Yellow",1,9,False
5.18,2.33,8.24,"Green",13,2,False
2.83,2.15,8.74,"Red",4,13,False
9.76,2.67,15.82,"Green",10,2,False
9.71,3.73,9.11,"Green",15,5,False
9.0,1.44,15.36,"Orange",13,9,False
7.6,2.9,10.95,"Blue",14,4,False
2.84,3.14,11.91,"Orange",2,14,False
4.88,2.95,10.89,"Orange",4,9,False
6.65,2.67,12.56,"Red",9,3,False
3.81,2.9,14.49,"Green",4,1,False
9.22,2.98,13.87,"Orange",2,1,False
10.95,1.38,13.78,"Purple",12,12,True
5.08,2.62,8.22,"Yellow",12,2,False
8.98,2.32,15.16,"Red",10,14,False
5.63,3.13,12.78,"Yellow",10,14,True
2.88,3.07,10.72,"Orange",14,2,False
7.24,3.81,8.57,"Yellow",9,15,False
9.47,3.69,12.66,"Yellow",13,10,True
8.57,1.81,13.89,"Green",13,7,False
6.61,2.47,14.44,"Orange",14,11,False
3.87,5.06,9.54,"Purple",12,13,True
9.33,3.27,13.17,"Yellow",11,13,False
7.41,1.3,11.44,"Yellow",9,1,True
3.62,1.94,12.88,"Yellow",12,3,False
2.86,1.86,9.2,"Blue",4,9,False
4.22,1.3,8.74,"Blue",9,10,False
7.63,3.41,15.78,"Green",2,7,False
2.78,3.51,15.47,"Red",5,10,False
9.67,3.42,8.5,"Orange",10,2,True
7.26,1.5,11.27,"Yellow",11,13,False
8.19,1.87,14.34,"Purple",13,14,False
9.23,3.87,13.91,"Pink",9,2,False
8.4,3.68,14.38,"Green",5,4,False
5.32,3.99,12.13,"Green",6,4,False
5.45,4.17,10.24,"Pink",15,15,True
7.08,1.96,14.61,"Purple",14,15,False
5.72,2.88,9.82,"Purple",1,7,False
8.37,3.53,11.92,"Red",6,10,False
2.19,3.54,13.83,"Pink",14,15,False
9.09,1.06,14.56,"Orange",2,19,True
9.13,3.58,8.02,"Purple",10,2,False
6.35,2.59,10.89,"Pink",14,15,False
9.82,1.06,14.96,"Red",8,12,False
5.06,2.2,15.73,"Orange",15,5,False
5.48,3.46,14.03,"Blue",4,13,False
6.63,2.1,14.02,"Yellow",6,8,False
8.51,2.06,13.31,"Green",9,10,False
4.18,3.19,10.92,"Yellow",5,2,False
4.1,3.26,11.44,"Red",8,9,False
10.12,3.99,10.25,"Blue",6,11,True
8.36,3.23,15.38,"Orange",2,3,True
4.41,3.19,8.29,"Purple",5,5,False
2.08,1.74,10.35,"Pink",9,12,False
2.84,1.76,11.92,"Blue",14,4,False
9.95,3.89,8.17,"Orange",10,12,False
6.14,2.53,15.82,"Red",14,14,True
4.8,2.7,12.09,"Red",1,5,False
4.55,2.39,10.08,"Pink",3,3,False
8.62,2.74,15.45,"Yellow",15,2,False
2.72,3.36,11.22,"Pink",12,11,False
5.71,1.7,8.23,"Green",11,12,False
9.83,1.79,9.34,"Green",15,2,False
9.46,2.15,9.84,"Blue",2,4,False
9.52,2.33,7.23,"Purple",17,15,True
4.88,4.13,15.54,"Purple",6,13,True
7.4,2.34,14.6,"Blue",3,6,False
8.0,2.02,15.01,"Orange",10,15,False
2.24,3.32,11.35,"Blue",9,6,False
9.4,2.5,9.26,"Red",14,5,True
5.96,2.08,8.32,"Blue",6,14,False
9.68,2.16,12.98,"Pink",1,11,False
5.22,3.38,10.87,"Green",4,8,False
4.4,1.52,14.68,"Blue",2,14,False
5.34,2.23,8.51,"Purple",8,1,False
3.21,2.57,12.51,"Green",11,9,False
9.31,2.51,11.23,"Yellow",15,14,False
7.09,1.79,11.2,"Yellow",14,15,False
11.65,4.35,7.28,"Yellow",14,1,True
5.1,2.82,12.58,"Red",3,2,False
2.07,1.58,12.54,"Red",8,10,False
5.91,3.06,8.26,"Red",6,7,True
2.37,2.88,8.07,"Green",11,14,False
5.3,2.0,11.93,"Blue",11,3,False
5.04,3.24,8.5,"Red",10,13,True
9.61,2.97,11.29,"Yellow",2,8,True
6.12,2.19,10.26,"Pink",6,13,False
6.68,2.22,8.81,"Orange",13,6,True
6.35,3.29,12.46,"Red",4,3,False
7.73,3.49,15.8,"Purple",1,7,False
6.95,2.67,12.67,"Red",3,2,False
7.35,1.34,11.73,"Pink",3,11,False
8.48,2.92,13.03,"Green",15,2,False
3.14,3.54,13.7,"Purple",15,3,False
6.74,3.38,13.56,"Yellow",6,7,False
3.53,3.61,10.88,"Purple",3,4,False
3.2,1.18,9.69,"Red",7,9,False
3.75,2.09,8.53,"Purple",4,10,False
8.0,3.48,6.98,"Purple",4,4,True
9.44,2.06,10.8,"Pink",4,4,False
8.27,3.31,12.65,"Red",1,14,False
5.47,2.44,8.53,"Blue",11,7,False
11.45,2.64,11.24,"Yellow",14,12,True
6.2,3.69,13.03,"Pink",12,11,False
6.4,1.58,7.17,"Pink",6,10,True
8.85,2.92,11.29,"Orange",6,17,True
9.36,2.67,12.21,"Yellow",14,14,False
4.04,3.08,8.89,"Purple",10,6,True
7.86,3.75,11.09,"Yellow",9,12,False
9.65,2.93,10.23,"Orange",15,1,False
2.65,3.11,12.22,"Yellow",15,8,False
6.64,3.08,11.54,"Purple",15,16,True
6.48,2.97,15.75,"Red",12,11,True
3.43,1.5,14.54,"Red",10,10,False
4.89,2.5,14.43,"Blue",14,4,False
8.26,1.4,10.01,"Purple",9,2,False
8.65,3.29,9.12,"Orange",3,13,False
9.4,2.97,11.46,"Blue",10,10,False
3.55,2.94,9.4,"Purple",11,9,True
6.17,2.53,14.43,"Red",11,13,False
3.86,2.66,15.51,"Yellow",19,13,True
6.03,1.88,8.56,"Red",6,15,False
5.64,3.64,11.98,"Orange",9,5,False
7.49,2.33,10.54,"Red",14,10,False
7.28,2.85,8.86,"Green",7,6,False
4.65,1.86,13.0,"Red",9,5,False
8.06,4.22,9.56,"Pink",11,15,True
2.27,2.4,9.87,"Blue",13,1,False
3.92,3.13,12.09,"Orange",7,7,False
6.35,1.02,10.55,"Red",11,12,False
11.57,2.5,14.28,"Yellow",10,6,True
7.39,3.7,15.93,"Yellow",9,2,False
6.8,3.18,14.63,"Green",1,14,False
5.81,1.79,9.69,"Blue",14,12,False
4.48,2.05,15.45,"Pink",8,10,False
9.23,4.21,12.56,"Purple",3,19,True
6.31,2.33,14.84,"Pink",4,11,False
4.23,3.85,10.8,"Purple",1,15,False
9.31,3.28,14.56,"Green",9,3,False
9.58,1.11,15.08,"Blue",13,12,False
6.47,3.96,9.69,"Orange",1,1,False
4.97,2.81,12.12,"Blue",7,7,False
9.59,4.38,14.28,"Green",19,11,True
8.87,1.22,12.07,"Yellow",11,15,False
2.55,1.02,13.83,"Pink",5,5,False
4.32,2.1,10.85,"Green",12,6,False
8.88,1.71,9.82,"Orange",12,19,True
7.86,1.26,15.9,"Blue",2,10,False
3.07,3.8,11.53,"Green",1,5,False
3.75,1.72,12.09,"Red",13,16,True
6.42,3.3,15.52,"Blue",6,15,False
7.14,1.67,15.05,"Pink",5,11,False
5.07,3.82,14.91,"Pink",7,2,False
5.77,1.89,14.43,"Purple",14,2,True
9.81,1.45,10.32,"Purple",11,10,False
2.52,2.02,12.17,"Red",14,2,False
9.32,1.17,12.08,"Green",14,15,False
5.07,1.35,8.76,"Green",12,7,False
9.95,1.97,14.98,"Orange",13,9,False
6.52,4.95,13.46,"Purple",14,10,True
4.53,4.56,6.42,"Yellow",3,11,True
7.94,2.88,13.38,"Pink",5,1,False
6.31,1.56,13.12,"Red",11,1,False
9.79,3.28,13.34,"Green",15,1,False
3.2,1.12,11.56,"Pink",15,6,False
3.74,1.15,9.82,"Orange",9,1,False
2.57,2.91,13.83,"Yellow",12,13,False
3.18,1.78,8.6,"Red",5,10,False
2.47,1.77,8.22,"Red",7,9,False
7.36,1.86,12.72,"Purple",12,4,False
8.55,1.55,15.24,"Orange",7,3,False
4.3,2.19,14.57,"Pink",9,6,False
5.84,1.03,12.14,"Green",2,9,False
3.89,3.86,14.42,"Yellow",12,1,False
3.07,3.59,11.48,"Orange",8,8,False
3.42,4.82,7.36,"Blue",16,5,True
4.85,3.76,12.05,"Purple",13,14,False
3.73,2.17,13.06,"Yellow",7,8,False
8.04,2.24,11.28,"Purple",15,14,False
9.92,3.97,14.8,"Red",9,13,False
8.21,1.64,10.64,"Yellow",12,6,False
5.82,3.34,10.41,"Red",12,4,False
9.01,3.34,11.21,"Yellow",10,11,True
8.93,2.05,14.74,"Orange",6,1,False
2.7,1.59,10.08,"Purple",8,15,False
10.75,1.62,8.54,"Green",5,7,True
3.92,3.49,12.76,"Orange",11,3,False
5.94,2.4,15.58,"Yellow",3,1,True
6.28,1.99,13.49,"Green",6,10,True
5.96,2.87,14.41,"Blue",6,10,False
6.8,1.76,14.64,"Purple",12,11,False
8.16,2.5,4.87,"Red",5,11,True
8.69,1.01,13.21,"Yellow",12,11,True
9.72,3.34,9.14,"Orange",13,9,False
3.91,1.51,7.54,"Pink",4,7,True
4.14,1.23,8.27,"Yellow",8,5,False
9.42,2.85,14.39,"Yellow",13,6,False
2.5,1.03,14.24,"Green",6,3,False
8.08,3.26,15.39,"Blue",12,5,False
8.24,1.46,14.14,"Green",1,10,False
4.43,1.01,9.22,"Red",13,9,False
9.23,2.02,8.61,"Red",7,2,False
8.77,1.91,9.75,"Blue",1,3,False
5.58,4.71,8.24,"Purple",3,3,True
4.46,3.97,14.84,"Pink",12,6,False
9.1,2.49,13.93,"Pink",10,12,False
3.48,1.95,14.35,"Yellow",5,15,False
9.3,1.54,10.18,"Blue",9,13,True
2.76,1.82,12.71,"Orange",4,3,False
6.97,2.47,15.44,"Pink",5,13,False
8.14,3.33,9.53,"Orange",14,8,False
5.58,1.94,11.81,"Blue",8,5,False
9.34,3.01,15.53,"Pink",15,11,False
6.57,1.04,12.35,"Orange",10,2,False
3.63,3.95,14.67,"Red",14,4,False
7.02,2.4,11.57,"Blue",4,4,False
3.92,1.17,11.27,"Green",12,11,False
7.34,2.74,12.76,"Orange",1,15,False
9.56,3.54,10.4,"Blue",5,3,False
9.3,1.85,15.76,"Orange",14,8,False
5.58,3.89,9.47,"Red",1,14,False
8.67,1.34,14.67,"Red",9,2,False
3.46,3.56,8.82,"Orange",5,5,True
7.06,2.75,14.89,"Red",3,6,True
8.89,2.2,13.42,"Yellow",14,12,False
4.53,3.47,14.49,"Green",11,7,False
2.44,3.48,14.31,"Green",7,11,False
2.91,3.12,15.86,"Purple",1,1,False
7.29,2.87,9.19,"Green",3,7,False
2.63,1.99,11.28,"Red",15,4,False
5.81,3.59,13.17,"Green",6,1,False
8.92,3.44,11.55,"Pink",5,7,True
4.14,1.71,14.28,"Green",7,8,False
2.04,3.38,13.47,"Green",4,2,False
3.18,1.79,8.82,"Purple",13,11,True
8.3,5.5,10.16,"Purple",2,10,True
6.43,3.88,15.35,"Green",2,10,False
7.48,1.86,10.05,"Green",13,9,False
4.12,3.14,14.3,"Purple",6,4,False
8.98,1.96,10.11,"Green",10,14,True
6.61,1.77,11.68,"Yellow",4,13,False
5.75,1.21,14.11,"Green",9,12,False
2.62,2.16,8.22,"Yellow",14,1,False
7.15,1.3,9.81,"Green",5,4,False
3.46,1.53,10.23,"Purple",8,8,False
3.73,1.24,12.81,"Orange",2,4,False
2.04,1.83,15.45,"Green",11,15,False
6.76,2.44,11.3,"Yellow",5,8,False
5.96,1.21,13.5,"Green",2,5,False
7.0,2.93,15.47,"Blue",14,12,False
9.48,2.91,10.16,"Red",15,1,False
6.18,2.34,6.37,"Pink",11,9,True
9.38,2.96,11.56,"Red",1,13,True
6.08,2.02,10.85,"Yellow",11,7,False
9.49,1.57,9.55,"Yellow",1,9,False
4.72,3.17,12.42,"Green",9,15,False
5.62,1.28,10.16,"Pink",4,8,False
8.44,1.65,11.94,"Blue",15,9,False
2.5,2.28,14.5,"Purple",9,10,False
8.91,3.67,12.38,"Blue",4,6,False
5.6,3.06,5.2,"Orange",3,11,True
3.55,2.62,8.65,"Green",4,1,False
6.04,3.87,11.97,"Pink",4,11,False
11.83,5.99,11.88,"Red",11,11,True
7.59,2.26,15.91,"Red",7,12,False
4.02,5.56,12.85,"Orange",10,19,True
9.53,3.37,13.32,"Blue",13,7,False
2.36,3.6,10.26,"Orange",1,15,False
9.71,2.41,12.11,"Yellow",15,12,False
4.65,1.71,11.48,"Blue",10,11,False
5.64,3.64,15.18,"Orange",11,15,False
7.86,2.28,9.13,"Orange",7,8,False
9.87,1.9,12.77,"Yellow",5,7,False
5.63,1.29,12.62,"Purple",10,11,False
9.08,3.51,12.36,"Pink",5,11,False
6.82,1.85,12.39,"Yellow",1,8,False
6.13,2.41,10.68,"Red",6,11,False
5.45,1.51,13.44,"Purple",2,3,False
7.7,2.17,11.47,"Yellow",8,2,False
5.1,2.93,11.59,"Orange",14,14,False
5.77,1.51,13.53,"Yellow",5,13,False
8.99,2.13,11.74,"Purple",15,6,False
7.49,2.53,13.72,"Orange",6,1,False
10.89,5.71,8.34,"Pink",4,12,True
8.88,1.84,4.41,"Purple",10,5,True
7.91,1.87,8.0,"Green",12,12,False
8.41,2.67,13.16,"Yellow",8,7,False
3.82,3.29,15.36,"Red",8,13,False
7.79,3.71,9.73,"Blue",7,5,False
7.19,3.66,8.11,"Pink",13,9,False
9.78,1.22,11.09,"Orange",3,4,False
5.91,2.99,10.04,"Pink",1,4,False
2.89,1.79,14.79,"Blue",4,6,False
7.97,3.89,8.1,"Pink",15,14,False
9.9,1.42,13.8,"Orange",7,10,False
4.71,2.85,9.32,"Red",15,11,True
8.51,3.55,11.44,"Purple",15,13,False
7.9,1.13,8.09,"Purple",6,8,False
2.99,2.09,15.01,"Purple",6,14,False
9.72,2.41,8.86,"Purple",2,13,False
8.12,3.9,5.25,"Green",13,12,True
3.75,3.37,12.77,"Red",3,16,True
9.33,2.22,14.31,"Green",11,5,False
7.25,2.22,11.23,"Green",10,4,False
2.57,3.65,13.92,"Yellow",15,8,False
6.27,3.26,8.6,"Pink",1,6,False
6.93,3.5,8.38,"Pink",6,6,False
6.45,3.0,8.1,"Pink",13,15,False
5.74,1.48,12.47,"Pink",8,10,False
2.85,2.79,8.05,"Purple",12,6,False
6.7,3.51,9.15,"Yellow",7,12,True
7.01,3.01,9.05,"Blue",11,1,False
9.46,2.09,14.33,"Blue",11,2,False
3.09,1.99,11.07,"Green",6,1,False
9.27,5.7,9.45,"Purple",10,9,True
7.03,5.58,7.82,"Blue",14,15,True
3.26,1.25,8.83,"Purple",6,7,False
5.86,3.54,12.25,"Green",15,4,False
3.12,1.39,13.01,"Red",11,12,False
8.19,3.97,15.06,"Pink",5,9,False
3.1,3.47,9.95,"Purple",11,11,False
9.49,1.09,9.81,"Purple",15,5,True
7.84,1.19,8.69,"Blue",2,15,False
7.37,1.67,10.08,"Yellow",5,14,False
4.91,1.2,15.07,"Purple",4,6,False
3.72,2.22,11.38,"Purple",10,10,False
4.64,3.5,11.57,"Red",3,15,False
9.45,1.07,8.99,"Green",4,13,False
2.89,3.43,13.28,"Green",9,15,False
7.86,1.4,11.89,"Blue",15,2,False
4.74,3.93,14.26,"Red",11,6,False
9.6,3.67,13.66,"Red",15,6,False
10.41,3.27,9.44,"Green",5,12,True
7.01,3.16,8.19,"Orange",1,14,False
6.57,2.22,9.93,"Red",9,15,False
5.38,1.32,10.57,"Orange",4,2,False
9.77,2.67,11.41,"Red",1,4,False
2.14,2.75,13.64,"Green",14,3,False
5.46,1.49,11.46,"Blue",4,9,False
10.71,2.53,14.59,"Orange",15,14,True
2.37,1.46,13.23,"Orange",8,4,False
8.89,1.13,8.41,"Blue",1,9,False
10.82,4.19,9.62,"Green",7,9,True
5.56,1.42,14.45,"Yellow",1,8,False
9.32,3.18,9.18,"Red",1,8,False
8.7,3.87,14.89,"Yellow",4,7,False
6.86,1.78,13.32,"Green",9,4,False
9.88,3.11,10.94,"Blue",1,9,False
4.44,2.41,13.02,"Green",1,10,False
8.13,3.05,6.92,"Blue",6,10,True
3.62,5.38,4.19,"Blue",6,5,True
9.73,2.65,9.63,"Pink",15,14,True
2.66,1.5,14.3,"Green",10,9,False
3.49,2.02,10.89,"Yellow",1,14,False
8.62,3.03,12.28,"Green",14,4,False
5.97,1.43,9.6,"Red",13,6,True
7.64,1.43,12.19,"Blue",14,6,False
3.52,2.16,13.63,"Yellow",11,6,False
4.44,2.45,8.19,"Blue",4,15,False
3.73,3.46,13.91,"Blue",5,14,False
7.54,2.18,11.2,"Red",14,3,False
5.05,2.39,9.29,"Pink",12,15,False
6.93,3.57,13.28,"Green",10,4,False
9.44,1.99,15.12,"Green",14,5,False
6.67,2.06,13.91,"Green",11,4,False
2.44,2.84,9.53,"Blue",13,4,False
9.2,1.48,9.98,"Red",13,6,False
2.69,2.06,9.19,"Green",14,3,False
8.11,1.12,13.81,"Orange",1,2,False
6.91,2.03,14.65,"Blue",8,14,False
6.47,3.9,11.21,"Red",15,8,False
5.83,1.31,14.46,"Yellow",8,15,False
7.2,2.4,13.58,"Red",7,13,False
2.51,2.44,8.05,"Yellow",2,1,False
5.85,1.65,9.14,"Pink",5,13,False
8.08,3.09,12.64,"Purple",7,2,False
6.56,2.1,9.14,"Orange",7,14,False
5.32,1.68,15.46,"Blue",1,15,False
3.4,2.5,11.19,"Purple",7,10,False
6.62,1.55,9.59,"Green",2,14,True
2.5,1.14,12.57,"Purple",1,14,False
6.52,2.33,12.4,"Purple",1,14,False
4.03,5.09,5.5,"Yellow",12,10,True
3.15,2.81,13.57,"Purple",5,3,True
3.77,2.41,13.49,"Orange",6,14,False
9.14,2.26,8.4,"Purple",9,1,False
4.74,3.76,13.45,"Orange",15,7,False
4.69,1.35,13.76,"Green",11,6,False
5.36,2.52,14.45,"Purple",15,8,False
7.39,3.04,12.09,"Purple",14,14,False
7.76,3.66,14.9,"Blue",1,6,False
2.72,1.82,12.87,"Purple",6,10,False
4.16,2.01,4.83,"Yellow",13,2,True
5.99,3.32,9.59,"Pink",14,1,False
10.05,3.95,13.83,"Blue",4,7,True
5.97,1.6,13.59,"Blue",2,15,False
2.91,3.3,13.02,"Blue",13,1,False
7.16,2.7,8.34,"Red",2,6,False
3.79,2.53,8.33,"Blue",7,6,False
7.47,1.38,9.21,"Orange",6,8,False
7.44,2.69,8.15,"Red",6,9,False
2.92,3.74,9.18,"Blue",18,15,True
6.85,1.52,12.98,"Orange",1,10,False
6.7,1.01,14.94,"Red",11,7,False
6.71,1.66,11.63,"Green",8,12,False
9.06,3.68,15.85,"Red",8,12,False
7.19,1.05,11.79,"Red",3,2,False
8.75,2.85,11.04,"Yellow",8,5,False
3.93,3.38,15.76,"Pink",12,1,False
9.06,1.28,10.63,"Pink",15,1,False
4.09,3.71,10.77,"Green",5,10,False
6.21,2.29,14.33,"Pink",9,5,True
4.16,3.47,8.02,"Red",14,3,False
2.06,2.16,12.32,"Orange",12,15,False
9.55,1.43,10.18,"Blue",7,10,False
4.36,1.92,10.92,"Yellow",4,4,False
5.15,1.1,10.72,"Purple",13,15,False
8.81,3.78,12.83,"Purple",6,4,False
3.32,3.89,8.67,"Blue",14,7,False
4.14,3.19,11.71,"Purple",4,6,False
6.73,2.29,8.21,"Orange",6,4,False
5.67,2.93,13.56,"Orange",11,8,False
5.31,2.7,14.02,"Orange",15,1,False
6.23,2.87,14.68,"Orange",5,15,False
8.78,2.18,13.41,"Purple",13,6,False
6.75,2.03,10.86,"Yellow",2,16,True
8.1,1.3,6.47,"Blue",14,1,True
2.53,1.7,12.76,"Green",3,11,False
8.89,3.02,11.79,"Red",14,12,True
2.38,2.9,11.62,"Purple",12,6,False
2.48,1.52,13.35,"Green",7,11,False
8.12,3.72,13.7,"Green",2,10,False
5.33,1.1,12.94,"Red",2,13,False
9.32,3.67,14.71,"Purple",7,9,False
2.89,3.8,14.66,"Red",5,7,False
5.36,1.83,10.04,"Pink",12,11,False
3.32,2.57,6.23,"Yellow",11,17,True
9.83,1.7,13.14,"Pink",1,11,False
3.66,2.94,11.73,"Yellow",2,6,False
6.55,2.87,11.65,"Purple",11,1,False
3.98,2.69,9.14,"Yellow",15,12,False
5.55,3.39,10.6,"Green",11,11,False
6.75,2.23,10.55,"Purple",9,5,False
9.97,3.65,13.01,"Blue",6,7,False
2.15,2.56,8.38,"Orange",12,14,False
3.78,4.0,9.69,"Green",14,2,False
4.4,1.6,15.59,"Purple",6,5,False
3.73,3.64,11.91,"Green",3,5,False
7.87,2.07,11.3,"Purple",15,9,False
4.3,2.54,12.6,"Purple",3,11,False
2.87,4.79,13.55,"Yellow",11,9,True
9.95,3.89,15.08,"Yellow",6,14,False
8.77,3.64,15.03,"Yellow",4,18,True
2.31,3.75,14.59,"Pink",4,5,False
2.92,1.79,11.7,"Blue",7,5,False
5.51,1.42,11.51,"Green",15,2,False
8.01,1.93,8.34,"Blue",5,7,False
5.05,2.36,15.8,"Purple",1,15,False
5.68,2.14,11.39,"Yellow",7,11,False
8.37,1.55,13.9,"Pink",4,3,False
6.31,1.58,11.65,"Blue",13,6,False
7.17,4.26,13.18,"Red",9,15,True
5.03,2.24,12.01,"Purple",12,13,False
4.18,2.7,11.16,"Blue",10,9,False
8.89,2.03,13.34,"Purple",14,2,False
2.55,2.07,11.75,"Orange",10,2,False
4.49,1.15,14.38,"Orange",9,7,False
8.53,3.17,11.93,"Orange",6,6,False
9.12,3.12,15.92,"Green",9,9,False
8.8,1.3,11.31,"Orange",1,13,False
3.92,3.24,11.93,"Red",11,12,False
8.67,2.32,12.25,"Red",13,1,True
9.48,2.89,9.97,"Pink",12,1,True
7.02,3.14,12.81,"Green",12,15,False
5.33,1.61,12.77,"Yellow",2,5,False
4.23,2.72,11.33,"Blue",2,1,False
7.2,1.14,10.45,"Green",1,15,False
3.02,3.64,13.34,"Blue",14,11,False
5.3,1.71,15.29,"Red",15,1,False
8.07,3.75,8.67,"Purple",6,14,False
4.31,1.23,13.83,"Red",4,12,False
9.09,1.2,10.92,"Purple",13,2,False
3.91,1.97,10.43,"Yellow",12,4,False
4.04,3.06,12.62,"Purple",9,9,False
8.0,2.78,10.76,"Purple",12,15,False
2.12,3.4,9.94,"Blue",3,6,False
3.67,1.88,14.06,"Pink",13,9,False
8.51,1.4,15.05,"Blue",1,2,False
